*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=K130
*Date=17:11:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;439.521;-37.6555;0;Bottom;MX56
2;;;122.576;-37.6295;0;Bottom;MX115
3;;;60.7689;-94.7915;0;Bottom;MX65
4;;;117.919;-18.5914;0;Bottom;MX122
5;;300 mil [THT];33.2617;-47.5616;180;Bottom;D10
6;;300 mil [THT];67.8715;-66.5834;180;Bottom;D79
7;;300 mil [THT];146.4;-85.6334;180;Bottom;D84
8;;300 mil [THT];14.1834;-66.3576;180;Bottom;D7
9;;;420.494;-131.871;0;Bottom;MX21
10;;300 mil [THT];308.36;-110.645;180;Bottom;D122
11;;;354.91;-131.871;0;Bottom;MX18
12;;300 mil [THT];392.992;-85.6334;180;Bottom;D96
13;;300 mil [THT];257.948;-114.42;180;Bottom;D130
14;;;146.395;-75.7296;0;Bottom;MX87
15;;;33.2522;-75.7502;0;Bottom;MX26
16;;;14.2022;-37.649;0;Bottom;MX31
17;;;175.041;-94.7914;0;Bottom;MX70
18;;300 mil [THT];458.632;-110.61;180;Bottom;D46
19;;;469.402;-16.489;0;Bottom;Hole12
20;;;227.393;-56.6795;0;Bottom;MX94
21;;;65.4961;-75.7296;0;Bottom;MX81
22;;300 mil [THT];219.594;-114.279;180;Bottom;D115
23;;300 mil [THT];303.598;-66.5834;180;Bottom;D67
24;;;393.011;-131.871;0;Bottom;MX19
25;;;401.599;-85.7039;0;Bottom;Via20
26;;;241.702;-131.871;0;Bottom;MX11
27;;300 mil [THT];392.992;-38.5493;180;Bottom;D27
28;;;245.969;-112.586;0;Bottom;Hole5
29;;300 mil [THT];383.631;-114.091;180;Bottom;D102
30;;;439.52;-131.871;0;Bottom;MX23
31;;;270.178;-85.6804;0;Bottom;Via16
32;;300 mil [THT];473.919;-114.208;180;Bottom;D51
33;;300 mil [THT];127.35;-85.6334;180;Bottom;D83
34;;;14.2022;-94.7989;0;Bottom;MX24
35;;300 mil [THT];420.508;-85.6334;180;Bottom;D40
36;;;14.2022;-131.871;0;Bottom;MX2
37;;300 mil [THT];383.678;-110.328;180;Bottom;D97
38;;300 mil [THT];308.395;-28.4834;180;Bottom;D23
39;;;190.497;-47.5334;0;Bottom;Via12
40;;;477.621;-131.871;0;Bottom;MX20
41;;;222.68;-131.871;0;Bottom;MX12
42;;;84.4756;-37.6295;0;Bottom;MX110
43;;;298.824;-75.7296;0;Bottom;MX84
44;;;420.493;-37.6555;0;Bottom;MX53
45;;;170.243;-56.6795;0;Bottom;MX95
46;;300 mil [THT];60.7689;-110.328;180;Bottom;D104
47;;;354.911;-18.5869;0;Bottom;MX42
48;;300 mil [THT];289.31;-110.645;180;Bottom;D120
49;;;155.991;-94.7914;0;Bottom;MX72
50;;;33.2522;-18.5908;0;Bottom;MX32
51;;;393.011;-94.7868;0;Bottom;MX35
52;;;232.191;-94.7914;0;Bottom;MX68
53;;;458.571;-94.8056;0;Bottom;MX47
54;;;251.269;-94.7914;0;Bottom;MX77
